pair_id,text_a,text_b,label,note
p13,"A football team improves through structured training, tactical discipline, recovery, and communication. Match analysis helps coaches identify weak transitions and design focused practice sessions.",آبیاری منظم، نور کافی و خاک مناسب سه عامل اصلی رشد گیاهان آپارتمانی هستند. مقدار آب باید با نوع گیاه و فصل سازگار باشد تا ریشه‌ها دچار پوسیدگی نشوند.,0,unrelated sports and plants
p14,The bank increased interest rates to slow borrowing and reduce inflationary pressure.,The bakery increased oven temperature to create a crisp crust and reduce baking time.,0,shared increased/reduce vocabulary
p15,Cats are small domesticated mammals that often hunt mice and sleep for many hours.,Database indexes accelerate queries by organizing keys and reducing the number of scanned records.,0,unrelated
p16,The experiment confirms that the new treatment improves recovery and reduces pain.,The experiment does not confirm that the new treatment improves recovery or reduces pain.,0,negation hard negative
p17,The company will open the factory because demand is increasing and jobs are needed.,The company will close the factory because demand is decreasing and jobs are being removed.,0,antonym hard negative
p18,A red car crossed the bridge before the storm reached the city.,A blue bicycle waited beside the station after the sun appeared.,0,unrelated short sentence
p19,شهرهای هوشمند با استفاده از حسگرها، داده‌های ترافیک و مصرف انرژی را جمع‌آوری می‌کنند. تحلیل این داده‌ها می‌تواند به کاهش ازدحام، مدیریت بهتر منابع و بهبود خدمات عمومی کمک کند.,آبیاری منظم، نور کافی و خاک مناسب سه عامل اصلی رشد گیاهان آپارتمانی هستند. مقدار آب باید با نوع گیاه و فصل سازگار باشد تا ریشه‌ها دچار پوسیدگی نشوند.,0,unrelated Persian
p20,Python lists are mutable sequences that preserve order and allow duplicate values.,A telescope uses mirrors or lenses to collect light from distant astronomical objects.,0,unrelated technical
p21,The report states that online learning increased access for rural students.,The report states that online learning decreased access for rural students.,0,single-word polarity change
p22,Water boils at one hundred degrees Celsius at standard atmospheric pressure.,"At normal atmospheric pressure, water reaches its boiling point at 100 degrees Celsius.",1,numeric paraphrase
p23,Researchers stored the samples at minus twenty degrees before laboratory analysis.,"Before the laboratory analysis, the researchers kept the samples at -20 degrees.",1,numeric symbol paraphrase
p24,The museum closes on Monday and opens from nine to five on other weekdays.,The museum opens on Monday and closes from nine to five on other weekdays.,0,reversed relation
p25,Neural networks adjust internal weights during training to reduce prediction error.,"During training, neural networks reduce prediction error by adjusting their internal weights.",1,word-order near duplicate
p26,A balanced dataset contains enough examples from every class to support reliable learning.,Reliable learning is supported when a dataset contains sufficient examples of each class.,1,paraphrase
p27,"The vaccine was effective, safe, and approved after clinical trials.","The vaccine was ineffective, unsafe, and rejected after clinical trials.",0,same syntax opposite meaning
p28,Search engines rank documents by estimating how well each page matches a user's information need.,A search engine orders pages according to the estimated relevance of each document to the user's query.,1,IR paraphrase
p29,MinHash estimates Jaccard similarity by comparing corresponding positions in compact signatures.,Corresponding entries of compact MinHash signatures provide an estimate of Jaccard similarity.,1,algorithm paraphrase
p30,"Yeast produces gas during fermentation, which helps bread dough rise.","Telescopes collect electromagnetic radiation, which helps astronomers observe galaxies.",0,shared template unrelated
